"","Date","d2m","t2m","tp","RH"
"layer.427",2015-03-03,21.0657535392861,26.1514633589704,0.0893798366444139,73.6076256982132
"layer.428",2015-03-04,22.2077593682226,26.4371916180066,0.133478365697867,77.6108167275796
"layer.429",2015-03-05,21.6700674483052,26.7617722921897,0.0424870578582461,73.6835934783071
"layer.430",2015-03-06,21.7725567152392,27.7917923883442,0.0124940667346337,69.801882794382
"layer.431",2015-03-07,22.0021524401351,27.4297603569805,0.00361548024565671,72.3014545750617
"layer.432",2015-03-08,21.9571154874292,26.1318350757286,0.433335967329077,77.8251726857782
"layer.433",2015-03-09,22.2454569204808,27.1999262277795,0.0349978487779572,74.3762405808925
"layer.434",2015-03-10,21.921888805646,25.3879675975137,0.467021913275039,81.1595123580233
"layer.435",2015-03-11,21.8464143892379,27.8279302536811,0.0370586725179815,69.9696185438235
"layer.436",2015-03-12,21.7863447825808,27.9741791506422,0.0346466306969504,69.121034033769
"layer.437",2015-03-13,22.1353110055319,27.8125590311836,0,71.2772074622376
"layer.438",2015-03-14,22.7630951336055,27.1997847748118,0.00191620453019802,76.752843136272
"layer.439",2015-03-15,22.7905248463345,27.0587157508132,0.0171941910539875,77.5197006858218
"layer.440",2015-03-16,22.3434315104977,27.8410517004055,0.00195235933265456,72.0659219161303
"layer.441",2015-03-17,21.9542053510921,25.4627625381851,0.0351218081006653,80.958992439972
"layer.442",2015-03-18,22.5104074463698,26.4185467696836,0.0690763325791617,79.1395017797411
"layer.443",2015-03-19,21.9514111321353,26.4557286926398,0.0276739187946124,76.3242572309221
"layer.444",2015-03-20,22.0548094353674,26.6372869446981,0.0536330669584279,75.9894703779684
"layer.445",2015-03-21,21.7398314085046,25.6120156267473,0.0528634861632808,79.2012448714299
"layer.446",2015-03-22,21.5441140632316,26.7488866004116,0.0206134023720228,73.173627021972
"layer.447",2015-03-23,20.7465902849029,22.5426613584231,0.903053995873019,89.5996186501892
"layer.448",2015-03-24,20.8358466677378,24.2331253610873,0.15061574206228,81.3556536244491
"layer.449",2015-03-25,19.8426665532836,25.1212209795809,0.0181497108331966,72.5606078948432
